Date,Net Income,Cash from operations,Free Cash Flow,Cash from investing,Cash from financing
2015/12/31,-76.27,-26.01,,8.734,5.684
2016/12/31,4.916,45.31,,-37.35,-0.7214
2017/12/31,-438.9,-9.957,,-26.78,62.15
2018/12/31,134.8,-14.15,,-75.08,265.7
2019/12/31,101,238.1,204.05,-315.7,31.21
2020/12/31,203.1,218.8,188.53,-176.8,262.2
2021/12/31,192.8,97.85,26.16,-450.1,44.99
