Date,Net Income,Operational Cash Flow,Free Cash Flow
2005/12/31,7.303,11.13,
2006/12/31,5.345,8.871,
2007/12/31,6.574,8.41,
2008/12/31,2.303,9.269,
2009/12/31,2.706,3.111,
2010/12/31,2.68,4.411,
2011/12/31,3.087,4.733,
2012/12/31,5.759,8.654,
2013/12/31,12.74,16.52,
2014/12/31,8.822,22.67,
2015/12/31,7.083,20.02,
2016/12/31,5.205,6.2,
2017/12/31,0.5265,29.91,
2018/12/31,0.6501,14.27,
2019/12/31,5.038,19.75,
2020/12/31,4.227,47.34,
2021/12/31,11.27,50.11,
