Date,Net Income,Operational Cash Flow,Free Cash Flow
2015/12/31,0.4269,0.1524,
2016/12/31,0.5414,0.2112,
2017/12/31,0.8619,0.2789,0.2867
2018/12/31,1.055,0.1211,-0.1536
2019/12/31,1.559,0.4601,-0.5599
2020/12/31,3.049,0.4318,-8.09
2021/12/31,6.51,0.7783,-4.29
