Date,Net Income,Operational Cash Flow,Free Cash Flow
2015/12/31,-76.27,-26.01,-26.01
2016/12/31,4.916,45.31,45.31
2017/12/31,-438.9,-9.957,-9.957
2018/12/31,134.8,-14.15,-14.15
2019/12/31,101,238.1,204.05
2020/12/31,203.1,218.8,188.53
2021/12/31,192.8,97.85,26.16
