Date,Revenue,COGS,Gross Profit,Selling & Promotion Expenses,Administrative Expenses,Research & Development Expenses,Net Income,% COGS,% Gross Profit,% Selling & Promotion Expenses,% Administrative Expenses,% Research & Development Expenses,% Net Income
2015/12/31,668.1,641.1,27,19.13,7.663,15.12,-76.27,0.96,0.04,0.03,0.01,0.02,-0.11
2016/12/31,684.3,611.8,72.49,30.22,9.268,21.04,4.916,0.89,0.11,0.04,0.01,0.03,0.01
2017/12/31,1146,994.7,151.5,52.32,12.16,31.51,-438.9,0.87,0.13,0.05,0.01,0.03,-0.38
2018/12/31,1749,1527,221.9,79.93,121,57.77,134.8,0.87,0.13,0.05,0.07,0.03,0.08
2019/12/31,2058,1773,285.5,103.8,31.04,74.93,101,0.86,0.14,0.05,0.02,0.04,0.05
2020/12/31,2459,2091,367.5,145.4,37.46,92.56,203.1,0.85,0.15,0.06,0.02,0.04,0.08
2021/12/31,3283,2700,582.6,209.8,47.39,131.7,192.8,0.82,0.18,0.06,0.01,0.04,0.06
