Date,Inventory,A/R,A/P,Revenue,COGS
2015/12/31,86.43,14.7,142.3,668.1,641.1
2016/12/31,83.78,20.9,175.8,684.3,611.8
2017/12/31,163.4,54.7,340,1146,994.7
2018/12/31,294.8,55.98,462.9,1749,1527
2019/12/31,325.9,69.49,595.3,2058,1773
2020/12/31,416.7,101.6,722,2459,2091
2021/12/31,524,179.9,746.4,3283,2700
