Date,Inventory,A/R,A/P,Revenue,COGS
2015/12/31,0.0057,0.1663,0.0974,0.7356,0.3087
2016/12/31,0.0101,0.2406,0.1093,0.9649,0.4235
2017/12/31,0.0332,0.3688,0.1557,1.482,0.6206
2018/12/31,0.049,0.6841,0.2558,2.1,1.046
2019/12/31,0.0853,0.5751,0.0755,3.231,1.672
2020/12/31,1.647,3.205,2.957,6.97,3.921
2021/12/31,2.317,4.297,2.811,21.04,14.53
