Date,Inventory,A/R,A/P,Revenue,COGS,,,,
2015/12/31,1015.149,135.8,187.3,442.9,300.8,,,,
2016/12/31,1082.259,215.8,219.5,537.3,385.4,,,,
2017/12/31,1447.191,330.6,394.4,592.8,383.2,,,,
2018/12/31,1931.743,368.8,674.3,768.6,489.1,,,,
2019/12/31,2236.696,577.3,839.1,908.1,610.4,,,,
2020/12/31,2299.42,463.2,1065,858.9,655,,,,
2021/12/31,2099.71,454.7,1005,762.3,784,,,,
2022/12/31,1918.31,410.2,960.5,351.9,313.7,,,,
