Date,Inventory,A/R,A/P,Revenue,COGS
2022/12/31,131.3,104,185.7,926.6,838.4
2021/12/31,114.2,69.47,193.3,1132,989.3
2020/12/31,128.4,100.2,211.3,1084,926.3
2019/12/31,121.9,106.9,192.2,1011,876
2018/12/31,107.1,75.82,172.2,1045,911.3
2017/12/31,106.6,63.54,215.7,1260,1097
2016/12/31,87.35,41.38,215,1225,1050
2015/12/31,86.65,36.64,171.7,1266,1096
